Item #,RZ1(AUD)
:0482402,507.74
:0482403,634.94
:0482404,687.94
:0482405,634.94
:0482406,687.94
:0482407,634.94
:0482408,634.94
:0482409,634.94
:0482410,634.94
:0482411,719.74
:0482412,719.74
:0482413,719.74
:0482414,528.94
:0482415,687.94
:0482416,719.74
:0482417,656.14
:0482418,528.94
:0482420,687.94
:0482421,719.74
:0482422,719.74
:0482423,507.74
:0482424,518.34
:0482425,634.94
:0482426,634.94
:0482427,634.94
:0482428,634.94
:0482429,634.94
:0482430,687.94
:0482431,507.74
:0482433,719.74
:0482434,528.94
:0482435,687.94
:0482436,740.94
:0482437,719.74
:0482438,719.74
:0482439,634.94
:0482440,634.94
:0482441,634.94
:0482442,550.14
:0482443,634.94
:0482446,634.94
:0482448,518.34
:0482449,656.14
:0482450,719.74
:0482451,656.14
:0482452,528.94
:0482453,550.14
:0482454,719.74
:0482457,518.34
:0482458,656.14
:0482459,518.34
:0482460,634.94
:0482461,528.94
:0482462,528.94
:0482463,740.94
:0482464,719.74
:0482465,656.14
:0482466,656.14
:0482467,518.34
:0482469,518.34
:0482470,550.14
:0482471,634.94
:0482472,634.94
:0482473,528.94
:0482474,656.14
:0482475,571.34
:0482476,518.34
:0482477,528.94
:0482478,740.94
:0482479,634.94
:0482480,634.94
:0482482,550.14
:0482483,634.94
:0482484,634.94
:0482485,740.94
:0482486,348.74
:0482487,518.34
:0482488,550.14
:0482489,656.14
:0482490,571.34
:0482491,518.34
:0482492,634.94
:0482494,740.94
:0482495,528.94
:0482496,550.14
:0482497,550.14
:0482498,656.14
:0482499,740.94
:0482500,634.94
:0482501,687.94
:0482502,518.34
:0482503,348.74
:0482504,581.94
:0482505,528.94
:0482506,571.34
:0482507,656.14
:0482509,550.14
:0482510,634.94
:0482512,507.74
:0482513,740.94
:0482514,719.74
:0482515,772.74
:0482516,507.74
:0482517,507.74
:0482518,687.94
:0482519,719.74
:0482520,581.94
:0482521,634.94
:0482522,772.74
:0482526,687.94
:0482527,507.74
:0482528,719.74
:0482529,581.94
:0482530,772.74
:0482531,581.94
:0482533,507.74
:0482534,719.74
:0482536,507.74
:0482538,687.94
:0482539,581.94
:0482540,719.74
:0482541,581.94
:0482542,507.74
:0482543,634.94
:0482545,507.74
:0482546,719.74
:0482548,581.94
:0482549,687.94
:0482550,507.74
:0482552,719.74
:0482553,719.74
:0482554,507.74
:0482555,581.94
:0482556,772.74
:0482557,719.74
:0482573,687.94
:0482575,634.94
:0482577,719.74
:0482579,634.94
:0482580,719.74
:0482583,507.74
:0482585,571.34
:0482588,581.94
:0482590,719.74
:0482592,348.74
:0482597,687.94
:0482599,772.74
:0482601,507.74
:0482604,581.94
:0482605,687.94
:0482608,719.74
:0482613,571.34
:0482616,348.74
:0482618,634.94
:0482619,550.14
:0482622,772.74
:0482623,772.74
:0482625,772.74
:0482629,634.94
:0482630,571.34
:0482631,719.74
:0482633,687.94
:0482635,740.94
:0482637,348.74
:0482640,634.94
:0482642,634.94
:0482643,687.94
:0482646,348.74
:0482648,348.74
:0482649,571.34
:0482652,571.34
:0482654,550.14
:0482656,348.74
:0482659,772.74
:0482660,571.34
:0482661,571.34
:0482662,740.94
:0482664,740.94
:0482665,719.74
:0482666,348.74
:0482667,348.74
:0482668,772.74
:0482670,518.34
:0482672,518.34
:0482674,518.34
:0482678,518.34
:0482680,518.34
:0482682,518.34
:0482685,518.34
:0482771,295.74
:0482773,295.74
:0482783,295.74
:0482784,295.74
:0482745,210.94
:0482758,285.14
:0482759,285.14
:0482760,179.14
:0482761,295.74
:0482762,338.14
:0482763,401.74
:0482764,422.94
:0482765,295.74
:0482767,285.14
:0482785,401.74
:0482786,422.94
:0482787,422.94
:0482788,338.14
:0482789,179.14
:0482790,295.74
:0482792,295.74
:0482793,295.74
:0482794,285.14
:0482795,285.14
:0482797,422.94
:0482798,295.74
:0482800,412.34
:0482801,422.94
:0482802,422.94
:0482803,295.74
:0482804,179.14
:0482805,422.94
:0482806,285.14
:0482807,412.34
:0482809,412.34
:0482810,422.94
:0482811,422.94
:0482812,285.14
:0482813,422.94
:0482814,422.94
:0482815,295.74
:0482816,412.34
:0482817,295.74
:0482818,295.74
:0482819,412.34
:0482820,295.74
:0482821,285.14
:0482822,179.14
:0482824,285.14
:0482825,242.74
:0482827,422.94
:0482829,295.74
:0482831,210.94
:0482832,422.94
:0482834,242.74
:0482768,295.74
:0482769,422.94
:0482770,338.14
:0482772,422.94
:0482774,422.94
:0482775,422.94
:0482776,412.34
:0482777,285.14
:0482779,285.14
:0482780,285.14
:0482781,295.74
:0482782,338.14
:0482799,422.94
:0482835,242.74
:0482836,412.34
:0482837,422.94
:0482838,327.54
:0482839,210.94
:0482840,295.74
:0482842,242.74
:0482843,242.74
:0482844,412.34
:0482846,295.74
:0482847,242.74
:0482848,295.74
:0482849,422.94
:0482850,422.94
:0482851,422.94
:0482852,242.74
:0482853,327.54
:0482854,295.74
:0482855,179.14
:0482856,295.74
:0482858,295.74
:0482859,295.74
:0482860,422.94
:0482861,412.34
:0482862,422.94
:0482863,285.14
:0482864,422.94
:0482865,242.74
:0482866,422.94
:0482867,295.74
:0482868,242.74
:0482869,412.34
:0482870,210.94
:0482871,327.54
:0482872,179.14
:0482873,422.94
:0482874,295.74
:0482875,422.94
:0482876,295.74
:0482877,422.94
:0482878,327.54
:0482879,210.94
:0482880,210.94
:0482881,242.74
:0482883,242.74
:0482884,242.74
:0482885,295.74
:0482886,242.74
:0482888,327.54
:0482889,242.74
:0482890,327.54
:0482891,242.74
:0482892,295.74
:0482893,422.94
:0482895,306.34
:0482896,327.54
:0482897,475.94
:0482898,189.74
:0482899,306.34
:0482900,401.74
:0482901,210.94
:0482902,465.34
:0482903,475.94
:0482904,274.54
:0482906,189.74
:0482907,200.34
:0482909,210.94
:0482910,465.34
:0482911,401.74
:0482912,274.54
:0482914,401.74
:0482915,200.34
:0482916,380.54
:0482917,475.94
:0482918,465.34
:0482919,401.74
:0482920,380.54
:0482923,401.74
:0482926,380.54
:0482927,210.94
:0482928,380.54
:0482929,475.94
:0482930,465.34
:0482931,401.74
:0482932,401.74
:0482933,380.54
:0482935,475.94
:0482936,401.74
:0482937,475.94
:0482938,189.74
:0482939,189.74
:0482940,401.74
:0482941,179.14
:0482943,274.54
:0482944,475.94
:0482945,274.54
:0482946,210.94
:0482947,189.74
:0482948,465.34
:0482949,465.34
:0482950,179.14
:0482951,380.54
:0482952,179.14
:0482953,274.54
:0482954,200.34
:0482955,401.74
:0482956,348.74
:0482957,401.74
:0482958,200.34
:0482959,210.94
:0482960,274.54
:0482961,179.14
:0482963,401.74
:0482964,348.74
:0482965,475.94
:0482966,200.34
:0482967,210.94
:0482968,306.34
:0482969,179.14
:0482970,306.34
:0482972,348.74
:0482973,401.74
:0482974,475.94
:0482975,274.54
:0482976,475.94
:0482978,306.34
:0482979,274.54
:0482981,475.94
:0482983,401.74
:0482985,401.74
:0482986,475.94
:0482987,274.54
:0482988,401.74
:0482990,200.34
:0482991,274.54
:0482993,475.94
:0482994,401.74
:0482995,401.74
:0482997,348.74
:0482999,401.74
:0483001,179.14
:0483002,475.94
:0483003,401.74
:0483004,306.34
:0483005,401.74
:0483006,401.74
:0483007,274.54
:0483008,348.74
:0483009,475.94
:0483010,200.34
:0483011,179.14
:0483012,401.74
:0483014,179.14
:0483015,306.34
:0483016,210.94
:0483017,200.34
:0483018,475.94
:0483019,348.74
:0483020,274.54
:0483021,179.14
:0483023,401.74
:0483024,401.74
:0483025,401.74
:0483026,295.74
:0483027,348.74
:0483028,401.74
:0483029,475.94
:0483030,285.14
:0483031,274.54
:0483032,274.54
:0483033,274.54
:0483034,475.94
:0483035,348.74
:0483037,401.74
:0483038,475.94
:0483082,285.14
:0483086,475.94
:0483088,210.94
:0483090,274.54
:0483092,295.74
:0483094,348.74
:0483096,200.34
:0483098,306.34
:0483100,179.14
:0483102,475.94
:0483104,200.34
:0483106,475.94
:0483108,306.34
:0483110,210.94
:0483112,401.74
:0483117,475.94
:0483119,338.14
:0483122,401.74
:0483124,475.94
:0483126,179.14
:0483128,401.74
:0483129,306.34
:0483131,401.74
:0483133,274.54
:0483136,285.14
:0483139,475.94
:0483140,401.74
:0483143,295.74
:0483145,348.74
:0483146,401.74
:0483149,338.14
:0483151,179.14
:0483152,274.54
:0483154,475.94
:0483155,285.14
:0483156,475.94
:0483158,295.74
:0483160,401.74
:0483161,475.94
:0483163,295.74
:0483164,338.14
:0483167,338.14
:0483169,274.54
:0483171,295.74
:0483172,295.74
:0483174,359.34
:0483176,475.94
:0483177,401.74
:0483180,200.34
:0483182,338.14
:0483183,295.74
:0483187,179.14
:0483189,338.14
:0483191,232.14
:0483193,285.14
:0483195,285.14
:0483197,242.74
:0483201,295.74
:0483202,359.34
:0483205,475.94
:0483208,401.74
:0483211,179.14
:0483212,200.34
:0483214,285.14
:0483215,507.74
:0483217,232.14
:0483219,242.74
:0483221,507.74
:0483222,507.74
:0483224,200.34
:0483226,359.34
:0483231,359.34
:0483233,242.74
:0483236,242.74
:0483238,200.34
:0483240,232.14
:0483243,200.34
:0483244,242.74
:0483246,507.74
:0483252,454.74
:0483254,242.74
:0483257,232.14
:0483259,210.94
:0483262,200.34
:0483264,507.74
:0483266,359.34
:0483268,359.34
:0483271,359.34
:0483276,454.74
:0483278,232.14
:0483281,232.14
:0483283,359.34
:0483286,200.34
:0483287,232.14
:0483290,210.94
:0483292,359.34
:0483296,242.74
:0483300,454.74
:0483304,232.14
:0483307,210.94
:0483311,232.14
:0483313,242.74
:0483315,242.74
:0483317,210.94
:0483320,507.74
:0483323,359.34
:0483325,454.74
:0483329,253.34
:0483331,242.74
:0483332,232.14
:0483334,295.74
:0483336,359.34
:0483338,242.74
:0483342,454.74
:0483344,210.94
:0483346,507.74
:0483350,359.34
:0483352,454.74
:0483355,253.34
:0483357,359.34
:0483359,295.74
:0483361,295.74
:0483363,210.94
:0483364,253.34
:0483366,454.74
:0483369,253.34
:0483370,454.74
:0483377,359.34
:0483379,359.34
:0483380,295.74
:0483383,210.94
:0483385,253.34
:0483387,454.74
:0483392,210.94
:0483393,253.34
:0483395,295.74
:0483398,295.74
:0483401,210.94
:0483402,401.74
:0483407,359.34
:0483409,189.74
:0483413,274.54
:0483414,253.34
:0483417,465.34
:0483419,465.34
:0483426,189.74
:0483427,380.54
:0483430,380.54
:0483434,189.74
:0483435,295.74
:0483437,253.34
:0483439,465.34
:0483444,380.54
:0483447,253.34
:0483449,189.74
:0483450,295.74
:0483452,295.74
:0483455,454.74
:0483458,465.34
:0483460,253.34
:0483465,189.74
:0483467,380.54
:0483469,359.34
:0483470,242.74
:0483472,295.74
:0483475,210.94
:0483478,327.54
:0483480,295.74
:0483400,444.14
:0483482,242.74
:0483405,295.74
:0483486,422.94
:0483489,327.54
:0483412,242.74
:0483492,327.54
:0483418,327.54
:0483494,444.14
:0483497,242.74
:0483429,422.94
:0483500,422.94
:0483503,327.54
:0483436,444.14
:0483504,327.54
:0483442,295.74
:0483446,327.54
:0483448,242.74
:0483451,295.74
:0483456,327.54
:0483459,444.14
:0483508,422.94
:0483466,422.94
:0483468,444.14
:0483509,444.14
:0483476,327.54
:0483481,295.74
:0483483,242.74
:0483513,359.34
:0483487,242.74
:0483514,422.94
:0483516,507.74
:0483496,444.14
:0483518,242.74
:0483520,295.74
:0483502,327.54
:0483522,327.54
:0483530,242.74
:0483510,422.94
:0483532,200.34
:0483517,295.74
:0483536,444.14
:0483540,507.74
:0483541,242.74
:0483544,359.34
:0483546,242.74
:0483528,242.74
:0483549,295.74
:0483550,444.14
:0483535,327.54
:0483553,200.34
:0483554,422.94
:0483558,295.74
:0483551,422.94
:0483563,359.34
:0483565,242.74
:0483567,507.74
:0483570,327.54
:0483571,295.74
:0483572,242.74
:0483566,422.94
:0483574,200.34
:0483573,444.14
:0483575,295.74
:0526490,90.1
:0526491,200.34
:0526492,200.34
:0526493,200.34
:0526494,90.1
:0526495,200.34
:0526496,90.1
:0526497,90.1
:0525830,157.94
:0525831,486.54
:0525832,486.54
:0525833,47.7
:0525834,16.95
:0525835,132.5
:0525836,147.34
:0525837,126.14
:0525838,41.34
:0525839,47.7
:0525840,19.07
:0525841,136.74
:0526500,232.14
:0526501,232.14
:0526506,740.94
:0526505,740.94
:0526509,232.14
:0526512,740.94
:0526513,475.94
:0526517,528.94
:0526524,740.94
:0526527,528.94
:0526528,528.94
:0526529,475.94
:0526530,528.94
:0526532,232.14
:0526534,740.94
:0526537,475.94
:0526540,232.14
:0526542,475.94
:0526544,528.94
:0526546,740.94
:0526547,232.14
:0526550,232.14
:0526551,232.14
:0526553,740.94
:0526555,528.94
:0526712,475.94
:0526715,528.94
:0526719,475.94
:0526724,740.94
:0526727,475.94
:0526732,232.14
:0526735,528.94
:0526737,740.94
:0526745,475.94
:0526748,528.94
:0526752,475.94
:0527390,221.54
:0527391,90.09
:0527392,369.94
:0527393,316.94
:0527394,302.1
:0527395,221.54
:0527396,369.94
:0527397,391.14
:0527398,90.09
:0527403,391.14
:0527404,316.94
:0527406,391.14
:0527408,302.1
:0527410,221.54
:0527412,263.94
:0527414,90.09
:0527416,369.94
:0527417,210.94
:0527419,391.14
:0527421,90.09
:0527423,90.09
:0527425,316.94
:0527427,263.94
:0527430,221.54
